playerRanking,gamesPlayed,minutesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointAttemptsRatio,threePointAttemptsRatio,freeThrowsRate,possesions,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,27.0,9.522222222222224,33.3%,36.6%,10.1%,17.3%,13.6%,0.2,10.2%,42.7%,42.7%,0%,23.8%,1.8,004512,"KRATZER, LEON",27,https://media-cdn.incrowdsports.com/793aeb4c-04f2-4521-b544-50802f53c32f.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
2,44.0,7.567045454545454,50.9%,52.3%,2.1%,8.3%,5.2%,1.5,20%,13.3%,21.1%,43.2%,8.6%,2.1,008850,"RAIESTE, SANDER",25,https://media-cdn.incrowdsports.com/32b9b901-2c92-4fcd-98b5-a3317eb8a89d.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
3,36.0,7.023611111111111,40.8%,45.6%,3.3%,13.8%,8.8%,0.7,12.3%,18.4%,29.6%,31.7%,30%,2.7,011649,"GONZALEZ, HUGO",18,https://media-cdn.incrowdsports.com/0ab7dbc1-b9a7-4360-b004-2f3c68012071.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
4,26.0,10.05448717948718,34.4%,39.6%,1.8%,6.8%,4.3%,1.8,26.8%,14.6%,38.2%,13.8%,28.1%,4.7,011386,"YAACOV, NOAM",19,https://media-cdn.incrowdsports.com/39341c78-b2bf-4b2b-a2c7-a68fb5056d26.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
5,27.0,7.27716049382716,47.7%,49.8%,2.4%,10.8%,6.5%,0.7,13.5%,19.8%,33.2%,26%,28.8%,4.1,012123,"KHARCHENKOV, IVAN",18,https://media-cdn.incrowdsports.com/3eb9cca0-1820-4e97-9745-16e629bb9a89.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
6,32.0,11.149479166666667,45.5%,49.8%,5.1%,8.1%,6.6%,1.0,10.1%,10.1%,26.9%,47%,18.2%,2.8,LUO,"LAZIC, BRANKO",35,https://media-cdn.incrowdsports.com/6dcc04d5-821e-4113-a665-029a43d76425.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
7,55.0,12.773333333333333,44.7%,47%,0.8%,5.9%,3.2%,1.6,13.5%,8.4%,15.9%,59.3%,8.7%,3.9,007025,"MATTISSECK, JONAS",24,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
8,30.0,15.709444444444445,40.2%,43.7%,2.2%,7.7%,5%,1.0,11.9%,11.4%,22.2%,46.5%,26.8%,6.2,012740,"ROBERTSON, KASSIUS",29,https://media-cdn.incrowdsports.com/5aa7f467-8fe2-45db-97e5-2fbff4d3a1b9.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
9,62.0,6.670430107526881,50%,54.3%,5.6%,8.7%,7.2%,1.3,13.2%,10.4%,40.2%,28.4%,26.3%,2.3,011209,"KALAITZAKIS, PANAGIOTIS",25,https://media-cdn.incrowdsports.com/59c8e70a-6d80-4d8c-9382-162194e226d0.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
10,54.0,11.787654320987654,56.3%,57.6%,5.6%,14.5%,10%,1.2,11.1%,9.1%,21.6%,56.4%,5.4%,2.7,001518,"RICCI, GIAMPAOLO",33,https://media-cdn.incrowdsports.com/dc523b20-4e9c-4806-afa9-3993cbfb9d2f.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
11,44.0,11.444318181818183,37.9%,39.7%,3.3%,6.3%,4.8%,2.8,29.1%,10.5%,28.6%,27%,19.7%,5.4,004058,"JARAMAZ, OGNJEN",29,https://media-cdn.incrowdsports.com/f0031d55-9883-419a-ae1d-775c39ad4af8.png,PAR;BAS,PAR;BKN,Partizan Mozzart Bet Belgrade;Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png;https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
12,35.0,9.13904761904762,43.8%,45.8%,4.5%,9.7%,7%,4.1,34.6%,8.4%,31.2%,23.6%,9.2%,3.4,009513,"HOLLATZ, JUSTUS",23,https://media-cdn.incrowdsports.com/d16b8105-3794-4737-87a7-2ac91acd282f.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
13,39.0,12.18119658119658,42.8%,47.3%,0.5%,8.1%,4.3%,1.6,19.2%,11.9%,38.8%,24.6%,20.1%,5.6,005670,"FLACCADORI, DIEGO",28,https://media-cdn.incrowdsports.com/b64d6382-45ba-48e2-a646-3fcfc0f8f056.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
14,25.0,13.275333333333332,43.7%,47.1%,6.8%,14.1%,10.5%,0.4,7.6%,21.2%,32.2%,34.8%,13.9%,4.7,006643,"PUERTO, JOSEP",24,https://media-cdn.incrowdsports.com/5c0cc065-9d15-40de-ab9e-6237b25c2584.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
15,59.0,10.018644067796611,55.6%,59.3%,4.9%,10.7%,7.7%,1.7,20.5%,12.1%,35%,28%,15.6%,3.6,005145,"COHEN, JAKE",34,https://media-cdn.incrowdsports.com/e8d3f0dc-cce9-4329-9d5b-03c76519199d.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
16,27.0,6.738271604938272,75.7%,76.5%,12.8%,9.2%,11%,0.7,10.7%,16%,60.5%,1.8%,40%,2.1,006721,"CARUSO, GUGLIELMO",25,https://media-cdn.incrowdsports.com/29cec6e2-585d-42db-99e3-da503d3ada8e.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
17,44.0,10.481439393939395,42.8%,46.9%,1%,6.1%,3.5%,1.6,20.1%,12.2%,36.6%,25.9%,19%,6.3,003210,"LEKAVICIUS, LUKAS",30,https://media-cdn.incrowdsports.com/e03b2138-ce9d-477b-9745-555d0ff9adb0.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
18,33.0,13.120202020202019,46.2%,48.4%,8.1%,8.7%,8.4%,1.2,18.5%,16%,38.5%,20.5%,25.4%,6.1,011631,"RAPIEQUE, ELIAS",20,https://media-cdn.incrowdsports.com/2adc2962-bb44-4461-8365-63e58f2861dc.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
